sale_id,date,product,category,units,unit_price,region
1,2026-04-01,Portatil Pro,Informatica,3,899.99,Madrid
2,2026-04-02,Monitor 27,Informatica,5,219.90,Barcelona
3,2026-04-03,Teclado Mecanico,Accesorios,12,74.50,Valencia
4,2026-04-04,Raton Wireless,Accesorios,18,29.99,Madrid
5,2026-04-05,Tablet Mini,Movilidad,4,329.00,Sevilla
6,2026-04-06,Portatil Pro,Informatica,2,899.99,Barcelona
7,2026-04-07,Monitor 27,Informatica,7,219.90,Madrid
8,2026-04-08,Auriculares ANC,Audio,9,129.90,Valencia
9,2026-04-09,Webcam HD,Accesorios,10,59.99,Sevilla
10,2026-04-10,Tablet Mini,Movilidad,3,329.00,Madrid
11,2026-04-11,Portatil Air,Informatica,4,1099.00,Valencia
12,2026-04-12,Raton Wireless,Accesorios,20,29.99,Barcelona
13,2026-04-13,Auriculares ANC,Audio,6,129.90,Madrid
14,2026-04-14,Monitor 27,Informatica,6,219.90,Sevilla
15,2026-04-15,Portatil Air,Informatica,2,1099.00,Barcelona
16,2026-04-16,Teclado Mecanico,Accesorios,8,74.50,Madrid
17,2026-04-17,Webcam HD,Accesorios,7,59.99,Valencia
18,2026-04-18,Tablet Mini,Movilidad,5,329.00,Barcelona
19,2026-04-19,Portatil Pro,Informatica,1,899.99,Sevilla
20,2026-04-20,Auriculares ANC,Audio,11,129.90,Barcelona

